1	-5	
3	-3	
2	-5	
3	0	
1	4	
-1	4	
-3	3	
-5	3	
-5	2	
-7	1	
-7	6	
-9	5	
-9	6	
-11	6	
-11	3	
-11	6	
-12	9	
-8	10	
-3	11	
5	9	
17	1	
30	-7	
41	-16	
56	-28	
65	-40	
77	-51	
84	-65	
84	-74	
79	-82	
66	-83	
47	-79	
23	-72	
2	-59	
-22	-43	
-39	-24	
-56	-7	
-69	12	
-73	31	
-77	46	
-70	59	
-60	69	
-47	76	
-33	80	
-21	80	
-10	79	
-3	76	
5	70	
7	63	
10	55	
8	46	
5	35	
4	24	
2	13	
1	2	
2	-7	
3	-18	
2	-24	
2	-31	
1	-36	
0	-39	
-4	-42	
-6	-38	
-11	-38	
-14	-35	
-22	-33	
-27	-28	
-28	-22	
-31	-18	
-30	-11	
-27	-6	
-22	1	
-19	4	
-15	9	
-11	15	
-5	18	
-1	21	
0	21	
2	21	
4	21	
1	18	
0	17	
0	15	
-1	13	
-1	9	
-3	6	
-2	4	
